dataset,image,k,n_bits_written,MSE,PSNR,SSIM
BOSS,50.bmp,3,256000,7.7908,39.215,0.9253
BOSS,51.bmp,1,256000,0.4873,51.2533,0.9952
BOSS,51.bmp,2,256000,1.9501,45.2303,0.9823
BOSS,51.bmp,3,256000,7.8185,39.1995,0.9385
BOSS,52.bmp,1,256000,0.4889,51.239,0.9945
BOSS,52.bmp,2,256000,1.9513,45.2275,0.9786
BOSS,52.bmp,3,256000,7.7917,39.2145,0.9235
BOSS,53.bmp,1,256000,0.488,51.2467,0.994
BOSS,53.bmp,2,256000,1.961,45.206,0.9763
BOSS,53.bmp,3,256000,7.8164,39.2007,0.9164
BOSS,54.bmp,1,256000,0.4887,51.2402,0.998
BOSS,54.bmp,2,256000,1.9515,45.2271,0.992
BOSS,54.bmp,3,256000,7.8163,39.2008,0.9694
BOSS,55.bmp,1,256000,0.488,51.2462,0.9957
BOSS,55.bmp,2,256000,1.9455,45.2404,0.9848
BOSS,55.bmp,3,256000,7.8174,39.2002,0.9508
BOSS,56.bmp,1,256000,0.4892,51.2362,0.9935
BOSS,56.bmp,2,256000,1.9512,45.2278,0.9755
BOSS,56.bmp,3,256000,7.8063,39.2064,0.9176
BOSS,57.bmp,1,256000,0.4878,51.2488,0.9982
BOSS,57.bmp,2,256000,1.9518,45.2266,0.9927
BOSS,57.bmp,3,256000,7.8041,39.2076,0.9717
BOSS,58.bmp,1,256000,0.4871,51.2546,0.9973
BOSS,58.bmp,2,256000,1.953,45.2238,0.9893
BOSS,58.bmp,3,256000,7.8198,39.1989,0.9607
BOSS,59.bmp,1,256000,0.4895,51.2332,0.9964
BOSS,59.bmp,2,256000,1.9593,45.2098,0.9869
BOSS,59.bmp,3,256000,7.8219,39.1977,0.9556
BOSS,6.bmp,1,256000,0.4866,51.2592,0.9972
BOSS,6.bmp,2,256000,1.9504,45.2295,0.9892
BOSS,6.bmp,3,256000,7.8199,39.1988,0.9606
BOSS,60.bmp,1,256000,0.488,51.247,0.9964
BOSS,60.bmp,2,256000,1.9555,45.2181,0.986
BOSS,60.bmp,3,256000,7.8128,39.2027,0.9489
BOSS,61.bmp,1,256000,0.4888,51.2395,0.9978
BOSS,61.bmp,2,256000,1.9465,45.2383,0.9917
BOSS,61.bmp,3,256000,7.8129,39.2027,0.9684
BOSS,62.bmp,1,256000,0.489,51.2377,0.9957
BOSS,62.bmp,2,256000,1.9512,45.2279,0.9838
BOSS,62.bmp,3,256000,7.7999,39.2099,0.9424
BOSS,63.bmp,1,256000,0.4889,51.2385,0.9939
BOSS,63.bmp,2,256000,1.9541,45.2213,0.9766
BOSS,63.bmp,3,256000,7.8184,39.1996,0.9193
BOSS,64.bmp,1,256000,0.4874,51.2522,0.9976
BOSS,64.bmp,2,256000,1.9549,45.2196,0.9904
BOSS,64.bmp,3,256000,7.7879,39.2166,0.9638
BOSS,65.bmp,1,256000,0.4885,51.2419,0.9967
BOSS,65.bmp,2,256000,1.9582,45.2122,0.9878
BOSS,65.bmp,3,256000,7.8088,39.2049,0.9584
BOSS,66.bmp,1,256000,0.4869,51.2567,0.9954
BOSS,66.bmp,2,256000,1.9538,45.2221,0.9827
BOSS,66.bmp,3,256000,7.8287,39.1939,0.9404
BOSS,67.bmp,1,256000,0.4873,51.2526,0.9969
BOSS,67.bmp,2,256000,1.9512,45.2278,0.988
BOSS,67.bmp,3,256000,7.8329,39.1916,0.9567
BOSS,68.bmp,1,256000,0.4895,51.2337,0.9948
BOSS,68.bmp,2,256000,1.9527,45.2245,0.9801
BOSS,68.bmp,3,256000,7.827,39.1948,0.9306
BOSS,69.bmp,1,256000,0.488,51.2462,0.9957
BOSS,69.bmp,2,256000,1.9512,45.2278,0.985
BOSS,69.bmp,3,256000,7.803,39.2082,0.948
BOSS,7.bmp,1,256000,0.4885,51.2417,0.9961
BOSS,7.bmp,2,256000,1.9477,45.2356,0.985
BOSS,7.bmp,3,256000,7.8093,39.2047,0.9485
BOSS,70.bmp,1,256000,0.4884,51.2433,0.9964
BOSS,70.bmp,2,256000,1.9545,45.2204,0.9865
BOSS,70.bmp,3,256000,7.8036,39.2078,0.9537
BOSS,71.bmp,1,256000,0.4889,51.2388,0.9953
BOSS,71.bmp,2,256000,1.956,45.217,0.9817
BOSS,71.bmp,3,256000,7.7979,39.211,0.9346
BOSS,72.bmp,1,256000,0.4877,51.2494,0.9942
BOSS,72.bmp,2,256000,1.9557,45.2178,0.9787
BOSS,72.bmp,3,256000,7.7991,39.2104,0.928
BOSS,73.bmp,1,256000,0.4868,51.2572,0.9951
BOSS,73.bmp,2,256000,1.946,45.2394,0.9819
BOSS,73.bmp,3,256000,7.8407,39.1873,0.9394
BOSS,74.bmp,1,256000,0.4885,51.2423,0.9981
BOSS,74.bmp,2,256000,1.9515,45.2272,0.9924
BOSS,74.bmp,3,256000,7.7979,39.2111,0.971
BOSS,75.bmp,1,256000,0.4885,51.2417,0.9952
BOSS,75.bmp,2,256000,1.953,45.2239,0.9818
BOSS,75.bmp,3,256000,7.8206,39.1984,0.9348
BOSS,76.bmp,1,256000,0.4879,51.2474,0.9981
BOSS,76.bmp,2,256000,1.9516,45.2268,0.9924
BOSS,76.bmp,3,256000,7.8143,39.2019,0.9705
BOSS,77.bmp,1,256000,0.4883,51.2443,0.9971
BOSS,77.bmp,2,256000,1.9525,45.225,0.9889
BOSS,77.bmp,3,256000,7.8192,39.1992,0.9605
BOSS,78.bmp,1,256000,0.4864,51.2612,0.9975
BOSS,78.bmp,2,256000,1.9507,45.2288,0.9912
BOSS,78.bmp,3,256000,7.8128,39.2027,0.9711
BOSS,79.bmp,1,256000,0.4882,51.2451,0.998
BOSS,79.bmp,2,256000,1.9545,45.2206,0.9923
BOSS,79.bmp,3,256000,7.8116,39.2034,0.9707
BOSS,8.bmp,1,256000,0.4876,51.2505,0.9968
BOSS,8.bmp,2,256000,1.9475,45.236,0.9876
BOSS,8.bmp,3,256000,7.7928,39.2138,0.9544
BOSS,80.bmp,1,256000,0.4886,51.241,0.9971
BOSS,80.bmp,2,256000,1.9603,45.2077,0.9887
BOSS,80.bmp,3,256000,7.8246,39.1962,0.958
BOSS,81.bmp,1,256000,0.4893,51.2354,0.9968
BOSS,81.bmp,2,256000,1.9499,45.2307,0.9875
BOSS,81.bmp,3,256000,7.8038,39.2078,0.9536
BOSS,82.bmp,1,256000,0.4875,51.2514,0.9961
BOSS,82.bmp,2,256000,1.9573,45.2143,0.9851
BOSS,82.bmp,3,256000,7.8067,39.2061,0.9488
