dataset,image,k,n_bits_written,MSE,PSNR,SSIM
OTHER,20260515_0100_eit171_512.bmp,3,256000,7.8215,39.1979,0.7954
OTHER,20260515_0106_eit284_512.bmp,1,256000,0.4882,51.2452,0.9863
OTHER,20260515_0106_eit284_512.bmp,2,256000,1.9534,45.223,0.9491
OTHER,20260515_0106_eit284_512.bmp,3,256000,7.8378,39.1889,0.8446
OTHER,20260515_0114_eit195_512.bmp,1,256000,0.4869,51.256,0.9833
OTHER,20260515_0114_eit195_512.bmp,2,256000,1.9518,45.2264,0.9383
OTHER,20260515_0114_eit195_512.bmp,3,256000,7.8128,39.2027,0.816
OTHER,20260515_0119_eit304_512.bmp,1,256000,0.4887,51.2405,0.979
OTHER,20260515_0119_eit304_512.bmp,2,256000,1.9521,45.2257,0.923
OTHER,20260515_0119_eit304_512.bmp,3,256000,7.842,39.1865,0.772
OTHER,20260515_1300_eit171_512.bmp,1,256000,0.4879,51.2478,0.9815
OTHER,20260515_1300_eit171_512.bmp,2,256000,1.955,45.2193,0.9317
OTHER,20260515_1300_eit171_512.bmp,3,256000,7.8027,39.2083,0.7966
OTHER,20260515_1306_eit284_512.bmp,1,256000,0.4884,51.2432,0.9863
OTHER,20260515_1306_eit284_512.bmp,2,256000,1.9519,45.2263,0.9491
OTHER,20260515_1306_eit284_512.bmp,3,256000,7.8091,39.2048,0.8447
OTHER,20260515_1314_eit195_512.bmp,1,256000,0.4884,51.2427,0.9836
OTHER,20260515_1314_eit195_512.bmp,2,256000,1.9521,45.2258,0.9393
OTHER,20260515_1314_eit195_512.bmp,3,256000,7.8069,39.206,0.8182
OTHER,20260515_1319_eit304_512.bmp,1,256000,0.4879,51.2476,0.979
OTHER,20260515_1319_eit304_512.bmp,2,256000,1.9512,45.2277,0.9229
OTHER,20260515_1319_eit304_512.bmp,3,256000,7.8153,39.2013,0.7716
OTHER,20260516_0100_eit171_512.bmp,1,256000,0.4886,51.2409,0.9817
OTHER,20260516_0100_eit171_512.bmp,2,256000,1.9508,45.2288,0.9322
OTHER,20260516_0100_eit171_512.bmp,3,256000,7.8113,39.2035,0.7978
OTHER,20260516_0106_eit284_512.bmp,1,256000,0.4884,51.2431,0.9864
OTHER,20260516_0106_eit284_512.bmp,2,256000,1.9568,45.2153,0.9495
OTHER,20260516_0106_eit284_512.bmp,3,256000,7.7894,39.2157,0.846
OTHER,20260516_0114_eit195_512.bmp,1,256000,0.4881,51.2453,0.9836
OTHER,20260516_0114_eit195_512.bmp,2,256000,1.9611,45.2059,0.9395
OTHER,20260516_0114_eit195_512.bmp,3,256000,7.7985,39.2107,0.8192
OTHER,20260516_0120_eit304_512.bmp,1,256000,0.4887,51.24,0.9791
OTHER,20260516_0120_eit304_512.bmp,2,256000,1.9551,45.2191,0.9231
OTHER,20260516_0120_eit304_512.bmp,3,256000,7.8047,39.2072,0.7725
OTHER,20260516_1300_eit171_512.bmp,1,256000,0.4872,51.2537,0.9819
OTHER,20260516_1300_eit171_512.bmp,2,256000,1.9593,45.2098,0.9329
OTHER,20260516_1300_eit171_512.bmp,3,256000,7.83,39.1932,0.7995
OTHER,20260516_1306_eit284_512.bmp,1,256000,0.488,51.2465,0.9867
OTHER,20260516_1306_eit284_512.bmp,2,256000,1.9514,45.2273,0.9507
OTHER,20260516_1306_eit284_512.bmp,3,256000,7.8228,39.1972,0.8491
OTHER,20260516_1314_eit195_512.bmp,1,256000,0.4884,51.2428,0.9838
OTHER,20260516_1314_eit195_512.bmp,2,256000,1.9511,45.228,0.9401
OTHER,20260516_1314_eit195_512.bmp,3,256000,7.8267,39.195,0.8207
OTHER,20260516_1319_eit304_512.bmp,1,256000,0.4877,51.2497,0.9792
OTHER,20260516_1319_eit304_512.bmp,2,256000,1.9546,45.2203,0.9237
OTHER,20260516_1319_eit304_512.bmp,3,256000,7.8015,39.209,0.7744
OTHER,20260517_0100_eit171_512.bmp,1,256000,0.4886,51.2414,0.9818
OTHER,20260517_0100_eit171_512.bmp,2,256000,1.9552,45.2188,0.9328
OTHER,20260517_0100_eit171_512.bmp,3,256000,7.797,39.2115,0.7995
OTHER,20260517_0106_eit284_512.bmp,1,256000,0.4883,51.2443,0.9871
OTHER,20260517_0106_eit284_512.bmp,2,256000,1.9478,45.2353,0.9518
OTHER,20260517_0106_eit284_512.bmp,3,256000,7.8166,39.2006,0.8521
OTHER,20260517_0114_eit195_512.bmp,1,256000,0.4887,51.2403,0.9836
OTHER,20260517_0114_eit195_512.bmp,2,256000,1.9507,45.2288,0.9395
OTHER,20260517_0114_eit195_512.bmp,3,256000,7.8237,39.1967,0.8193
OTHER,20260517_0119_eit304_512.bmp,1,256000,0.4884,51.2429,0.9793
OTHER,20260517_0119_eit304_512.bmp,2,256000,1.9561,45.2169,0.924
OTHER,20260517_0119_eit304_512.bmp,3,256000,7.8114,39.2035,0.7751
OTHER,20260517_1300_eit171_512.bmp,1,256000,0.4893,51.235,0.9817
OTHER,20260517_1300_eit171_512.bmp,2,256000,1.9496,45.2313,0.9325
OTHER,20260517_1300_eit171_512.bmp,3,256000,7.8296,39.1934,0.7984
OTHER,20260517_1306_eit284_512.bmp,1,256000,0.4882,51.2449,0.9871
OTHER,20260517_1306_eit284_512.bmp,2,256000,1.9519,45.2263,0.9519
OTHER,20260517_1306_eit284_512.bmp,3,256000,7.8015,39.209,0.8525
OTHER,20260517_1314_eit195_512.bmp,1,256000,0.4872,51.2536,0.9836
OTHER,20260517_1314_eit195_512.bmp,2,256000,1.9538,45.2221,0.9396
OTHER,20260517_1314_eit195_512.bmp,3,256000,7.7838,39.2189,0.8196
OTHER,20260518_0100_eit171_512.bmp,1,256000,0.4879,51.2471,0.9817
OTHER,20260518_0100_eit171_512.bmp,2,256000,1.9516,45.227,0.9324
OTHER,20260518_0100_eit171_512.bmp,3,256000,7.826,39.1954,0.7983
OTHER,20260518_0106_eit284_512.bmp,1,256000,0.4877,51.2495,0.9871
OTHER,20260518_0106_eit284_512.bmp,2,256000,1.9544,45.2207,0.952
OTHER,20260518_0106_eit284_512.bmp,3,256000,7.8058,39.2066,0.8525
OTHER,20260518_0114_eit195_512.bmp,1,256000,0.4881,51.2455,0.9836
OTHER,20260518_0114_eit195_512.bmp,2,256000,1.9553,45.2187,0.9395
OTHER,20260518_0114_eit195_512.bmp,3,256000,7.7961,39.212,0.8196
OTHER,20260518_1300_eit171_512.bmp,1,256000,0.4887,51.2407,0.9818
OTHER,20260518_1300_eit171_512.bmp,2,256000,1.9544,45.2207,0.9329
OTHER,20260518_1300_eit171_512.bmp,3,256000,7.8412,39.187,0.7999
OTHER,20260518_1306_eit284_512.bmp,1,256000,0.4895,51.2337,0.9871
OTHER,20260518_1306_eit284_512.bmp,2,256000,1.9511,45.228,0.9518
OTHER,20260518_1306_eit284_512.bmp,3,256000,7.8054,39.2068,0.8517
OTHER,20260518_1314_eit195_512.bmp,1,256000,0.489,51.2377,0.9836
OTHER,20260518_1314_eit195_512.bmp,2,256000,1.9528,45.2241,0.9396
OTHER,20260518_1314_eit195_512.bmp,3,256000,7.8271,39.1948,0.8194
OTHER,20260519_0100_eit171_512.bmp,1,256000,0.4881,51.2453,0.9816
OTHER,20260519_0100_eit171_512.bmp,2,256000,1.9515,45.2271,0.9322
OTHER,20260519_0100_eit171_512.bmp,3,256000,7.8045,39.2074,0.7981
OTHER,20260519_0106_eit284_512.bmp,1,256000,0.4878,51.2488,0.9868
OTHER,20260519_0106_eit284_512.bmp,2,256000,1.9547,45.22,0.9509
OTHER,20260519_0106_eit284_512.bmp,3,256000,7.8044,39.2074,0.8492
OTHER,20260519_0114_eit195_512.bmp,1,256000,0.4883,51.2435,0.9834
OTHER,20260519_0114_eit195_512.bmp,2,256000,1.9523,45.2254,0.939
OTHER,20260519_0114_eit195_512.bmp,3,256000,7.7866,39.2173,0.8183
OTHER,20260519_1300_eit171_512.bmp,1,256000,0.4879,51.2471,0.9816
OTHER,20260519_1300_eit171_512.bmp,2,256000,1.955,45.2193,0.9321
OTHER,20260519_1300_eit171_512.bmp,3,256000,7.8051,39.207,0.7982
OTHER,20260519_1313_eit195_512.bmp,1,256000,0.4877,51.2497,0.9834
OTHER,20260519_1313_eit195_512.bmp,2,256000,1.9521,45.2258,0.9389
OTHER,20260519_1313_eit195_512.bmp,3,256000,7.8098,39.2044,0.8179
OTHER,20260520_0100_eit171_512.bmp,1,256000,0.4878,51.2484,0.9815
OTHER,20260520_0100_eit171_512.bmp,2,256000,1.9519,45.2262,0.9319
OTHER,20260520_0100_eit171_512.bmp,3,256000,7.7903,39.2153,0.7974
OTHER,20260520_0106_eit284_512.bmp,1,256000,0.4882,51.2448,0.9868
OTHER,20260520_0106_eit284_512.bmp,2,256000,1.9544,45.2206,0.9508
OTHER,20260520_0106_eit284_512.bmp,3,256000,7.8002,39.2098,0.8493
OTHER,20260520_0113_eit195_512.bmp,1,256000,0.4895,51.2331,0.9832
OTHER,20260520_0113_eit195_512.bmp,2,256000,1.9557,45.2178,0.9382
OTHER,20260520_0113_eit195_512.bmp,3,256000,7.8096,39.2045,0.8162
